"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Occurrence","species.ID","species.inat.ID","species.common","species.science","phylum.inat.ID","phylum.common","phylum.science","class.inat.ID","class.common","class.science","order.inat.ID","order.common","order.science","family.inat.ID","family.common","family.science","genus.inat.ID","genus.common","genus.science","kingdom.inat.ID","kingdom.common","kingdom.science"
"Lomentaria hakodatensis","Plant","Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Lomentariaceae","Lomentaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","345348","345348","Plants","Lomentaria hakodatensis","57774","Red Algae","Rhodophyta","57775","Red Algae","Florideophyceae","131330","Red Algae","Rhodymeniales","131382","Red Algae","Lomentariaceae","183075","Red Algae","Lomentaria",47126,"Plants","Plantae"
"Lonicera hispidula","Plant","Plantae","Magnoliophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera",26,20,0,0,1,3,4,6,0,2,5,2,2,1,1,0,0,0,0,1,3,3,5,11,2,"Present","5392","5392","Pink Honeysuckle","Lonicera hispidula","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","48526","Dicots","Dipsacales","48527","Honeysuckles and allies","Caprifoliaceae","51874","Honeysuckles","Lonicera",47126,"Plants","Plantae"
"Lonicera involucrata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera",26,20,0,0,9,7,2,7,0,1,0,0,0,0,0,0,0,0,0,2,6,9,1,6,2,"Present","15124","15124","Twinberry Honeysuckle","Lonicera involucrata","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","48526","Dicots","Dipsacales","48527","Honeysuckles and allies","Caprifoliaceae","51874","Honeysuckles","Lonicera",47126,"Plants","Plantae"
"Lonicera japonica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","144259","144259","Japanese honeysuckle","Lonicera japonica","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","48526","Dicots","Dipsacales","48527","Honeysuckles and allies","Caprifoliaceae","51874","Honeysuckles","Lonicera",47126,"Plants","Plantae"
"Lontra canadensis","Mammal","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lontra",15,13,1,0,2,2,0,0,1,1,0,3,3,2,0,0,0,0,0,3,3,4,2,1,2,"Present","945005","945005","North American River Otter","Lontra canadensis","2","Chordates","Chordata","40151","Mammals","Mammalia","41573","Carnivorans","Carnivora","41770","Mustelids","Mustelidae","41775","New World River Otters","Lontra",1,"Animals","Animalia"
"Lophocampa argentata","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lophocampa",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,"45841","45841","Silver-spotted Tiger Moth","Lophocampa argentata","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47157","Butterflies and Moths","Lepidoptera","121850","Underwing, Tiger, and Tussock Moths and Allies","Erebidae","67692","Underwing, Tiger, and Tussock Moths and Allies","Lophocampa",1,"Animals","Animalia"
"Lophocampa maculata","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lophocampa",10,8,0,0,0,0,0,0,1,3,2,2,2,0,0,0,0,0,1,2,0,2,1,4,0,NA,"22597","22597","Spotted Tussock Moth","Lophocampa maculata","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47157","Butterflies and Moths","Lepidoptera","121850","Underwing, Tiger, and Tussock Moths and Allies","Erebidae","67692","Underwing, Tiger, and Tussock Moths and Allies","Lophocampa",1,"Animals","Animalia"
"Lophodytes cucullatus","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Lophodytes",3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,"Present","1204","1204","Hooded Merganser","Lophodytes cucullatus","2","Chordates","Chordata","3","Birds","Aves","6888","Waterfowl","Anseriformes","6912","Ducks, Geese, and Swans","Anatidae","7108","Hooded Mergansers","Lophodytes",1,"Animals","Animalia"
"Lophopanopeus bellus","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Lophopanopeus",5,3,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,NA,"2742","2742","Blackclaw Crestleg Crab","Lophopanopeus bellus","47120","Arthropods","Arthropoda","47187","Malacostracans","Malacostraca","47186","Decapods","Decapoda","50819","Decapods","Panopeidae","50820","Decapods","Lophopanopeus",1,"Animals","Animalia"
"Lophopanopeus leucomanus","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Lophopanopeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1390774","1390774","Animals","Lophopanopeus leucomanus","47120","Arthropods","Arthropoda","47187","Malacostracans","Malacostraca","47186","Decapods","Decapoda","50819","Decapods","Panopeidae","50820","Decapods","Lophopanopeus",1,"Animals","Animalia"
"Lottia digitalis","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",11,8,0,0,4,2,0,1,0,1,1,0,0,2,0,0,0,0,0,0,4,3,0,3,1,"Present","948041","948041","Fingered Limpet","Lottia digitalis","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia digitalis","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",11,8,0,0,4,2,0,1,0,1,1,0,0,2,0,0,0,0,0,0,4,3,0,3,1,"Present","948041","948041","Fingered Limpet","Lottia digitalis","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia gigantea","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",11,6,1,0,3,1,0,0,4,0,0,0,1,1,0,0,0,0,0,1,1,4,0,4,1,"Present","118024","118024","Owl Limpet","Lottia gigantea","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia instabilis","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","130170","130170","Rocking Chair Limpet","Lottia instabilis","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia limatula","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",4,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,NA,"3987092","3987092","File Limpet","Lottia limatula","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia paradigitalis","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"751386","751386","Animals","Lottia paradigitalis","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia pelta","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","2810596","2810596","Shield Limpet","Lottia pelta","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia persona","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","1529798","1529798","Mask limpet","Lottia persona","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia persona","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Present","1529798","1529798","Mask limpet","Lottia persona","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia scabra","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",14,13,0,0,2,1,1,4,2,2,0,2,0,0,0,0,0,0,0,1,2,2,1,8,0,"Present","982815","982815","Rough Limpet","Lottia scabra","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia scutum","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"Present","1078654","1078654","Plate Limpet","Lottia scutum","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lottia scutum","Invertebrate","Animalia","Mollusca","Gastropoda","Patellogastropoda","Lottiidae","Lottia",2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"Probably Present","1078654","1078654","Plate Limpet","Lottia scutum","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47679","True Limpets","Patellogastropoda","48751","True Limpets","Lottiidae","48752","Lottia Limpets","Lottia",1,"Animals","Animalia"
"Lotus corniculatus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lotus",20,16,0,0,2,3,2,5,2,2,4,0,0,0,0,0,0,0,0,0,2,1,7,8,2,"Present","927","927","Bird's-foot trefoil","Lotus corniculatus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47436","European Deer Vetches","Lotus",47126,"Plants","Plantae"
"Lotus scoparius","Plant","Plantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Lotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47126,"Plants","Plantae"
"Loxia curvirostra","Bird","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Present","5741270","5741270","Red Crossbill","Loxia curvirostra","2","Chordates","Chordata","3","Birds","Aves","7251","Perching Birds","Passeriformes","9079","Finches, Euphonias, and Allies","Fringillidae","10410","Crossbills","Loxia",1,"Animals","Animalia"
"Lucania parva","Fish","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Fundulidae","Lucania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","69483","69483","Rainwater killifish","Lucania parva","2","Chordates","Chordata","47178","Ray-finned Fishes","Actinopterygii","49333","Rivulines, Killifishes, and Livebearers","Cyprinodontiformes","58647","Topminnows","Fundulidae","89626","Topminnows","Lucania",1,"Animals","Animalia"
"Ludwigia hexapetala","Plant","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia",3,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Unconfirmed","29957","29957","Water primrose","Ludwigia hexapetala","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47791","Dicots","Myrtales","47790","Evening primrose family","Onagraceae","50339","Evening primrose family","Ludwigia",47126,"Plants","Plantae"
"Ludwigia peploides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Present","4158524","4158524","Floating primrose-willow","Ludwigia peploides","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47791","Dicots","Myrtales","47790","Evening primrose family","Onagraceae","50339","Floating Primrose-Willow","Ludwigia",47126,"Plants","Plantae"
"Ludwigia uruguayensis","Plant","Plantae","Streptophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47126,"Plants","Plantae"
"Lumbriculidae","Invertebrate","Animalia","Annelida","Clitellata","Lumbriculida","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present",NA,NA,NA,NA,"47491","Annelids","Annelida","63089","Clitellates","Clitellata","152945","Clitellates","Lumbriculida","171566","Animals","Lumbriculidae","171605","Clitellates","Spelaedrilus",1,"Animals","Animalia"
"Lumbricus terrestris","Invertebrate","Animalia","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"32535","32535","Common Earthworm","Lumbricus terrestris","47491","Annelids","Annelida","63089","Clitellates","Clitellata","69755","Haplotaxids","Haplotaxida","69758","Earthworms","Lumbricidae","81547","Earthworms","Lumbricus",1,"Animals","Animalia"
"Lumbrineris bassi","Invertebrate","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","339264","339264","Animals","Lumbrineris bassi","47491","Annelids","Annelida","47490","Polychaetes","Polychaeta","85516","Polychaetes","Eunicida","337281","Polychaetes","Lumbrineridae","337282","Polychaetes","Lumbrineris",1,"Animals","Animalia"
"Lumbrineris inflata","Invertebrate","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","339263","339263","Animals","Lumbrineris inflata","47491","Annelids","Annelida","47490","Polychaetes","Polychaeta","85516","Polychaetes","Eunicida","337281","Polychaetes","Lumbrineridae","337282","Polychaetes","Lumbrineris",1,"Animals","Animalia"
"Lumbrineris tetraura","Invertebrate","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","339262","339262","Animals","Lumbrineris tetraura","47491","Annelids","Annelida","47490","Polychaetes","Polychaeta","85516","Polychaetes","Eunicida","337281","Polychaetes","Lumbrineridae","337282","Polychaetes","Lumbrineris",1,"Animals","Animalia"
"Lunaria annua","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lunaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","9865","9865","Annual Honesty","Lunaria annua","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","71275","Mustards and allies","Brassicales","47204","Mustards","Brassicaceae","55326","Mustards","Lunaria",47126,"Plants","Plantae"
"Lupinus albifrons","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",15,12,0,0,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,5,"Present","3889","3889","Silver Lupine","Lupinus albifrons","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus arboreus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",29,27,0,0,1,9,2,2,1,11,2,1,0,0,0,0,0,0,0,3,10,3,0,11,2,"Present","15412","15412","Yellow Bush Lupine","Lupinus arboreus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus arboreus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",29,27,0,0,1,9,2,2,1,11,2,1,0,0,0,0,0,0,0,3,10,3,0,11,2,"Present","15412","15412","Yellow Bush Lupine","Lupinus arboreus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus bicolor","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",12,9,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,"Present","11718","11718","Miniature Lupine","Lupinus bicolor","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus chamissonis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",9,7,0,0,3,2,0,1,0,2,1,0,0,0,0,1,0,0,0,0,2,1,2,0,3,"Probably Present","18789","18789","Chamisso Bush Lupine","Lupinus chamissonis","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus formosus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","155885","155885","Summer Lupine","Lupinus formosus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus latifolius","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","161371","161371","Broadleaf lupine","Lupinus latifolius","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus littoralis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"1707971","1707971","Seashore Lupine","Lupinus littoralis","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus microcarpus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Unconfirmed","11726","11726","Chick Lupine","Lupinus microcarpus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus nanus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",11,11,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2,"Present","14195","14195","Sky Lupine","Lupinus nanus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus polyphyllus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","17944","17944","Garden lupine","Lupinus polyphyllus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus propinquus","Plant","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47126,"Plants","Plantae"
"Lupinus rivularis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","183474","183474","Riverbank Lupine","Lupinus rivularis","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus succulentus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Present","11721","11721","Arroyo lupine","Lupinus succulentus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Lupinus variicolor","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",5,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,"Present","33634","33634","Varied Lupine","Lupinus variicolor","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47121","Lupines","Lupinus",47126,"Plants","Plantae"
"Luridiblatta trivittata","Invertebrate","Animalia","Arthropoda","Insecta","Blattodea","Ectobiidae","Luridiblatta",3,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,"1101449","1101449","Animals","Luridiblatta trivittata","47120","Arthropods","Arthropoda","47158","Insects","Insecta","81769","Cockroaches and Termites","Blattodea","461451","Cockroaches and Termites","Ectobiidae","354645","Cockroaches and Termites","Luridiblatta",1,"Animals","Animalia"
"Luzula comosa","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Juncaceae","Luzula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","13128","13128","Pacific Woodrush","Luzula comosa","47125","Flowering plants","Magnoliophyta","47163","Monocots","Liliopsida","47162","Grasses and allies","Poales","52642","Rushes","Juncaceae","55796","Woodrushes","Luzula",47126,"Plants","Plantae"
"Lycaena arota","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena",2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,"1018342","1018342","Tailed Copper","Lycaena arota","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47157","Butterflies and Moths","Lepidoptera","47923","Gossamer-winged Butterflies","Lycaenidae","54010","Copper Butterflies","Lycaena",1,"Animals","Animalia"
"Lycaena heteronea","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","178481","178481","Blue Copper","Lycaena heteronea","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47157","Butterflies and Moths","Lepidoptera","47923","Gossamer-winged Butterflies","Lycaenidae","54010","Copper Butterflies","Lycaena",1,"Animals","Animalia"
"Lycaena xanthoides","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","365701","365701","Great Copper","Lycaena xanthoides","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47157","Butterflies and Moths","Lepidoptera","47923","Gossamer-winged Butterflies","Lycaenidae","54010","Copper Butterflies","Lycaena",1,"Animals","Animalia"
"Lycodes cortezianus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Lycodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","224184","224184","Bigfin Eelpout","Lycodes cortezianus","2","Chordates","Chordata","47178","Ray-finned Fishes","Actinopterygii","47233","Perch-like Fishes","Perciformes","60631","Eelpouts","Zoarcidae","89655","Eelpouts","Lycodes",1,"Animals","Animalia"
"Lycodes pacificus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Lycodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","117547","117547","Blackbelly Eelpout","Lycodes pacificus","2","Chordates","Chordata","47178","Ray-finned Fishes","Actinopterygii","47233","Perch-like Fishes","Perciformes","60631","Eelpouts","Zoarcidae","89655","Eelpouts","Lycodes",1,"Animals","Animalia"
