"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","original.inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","speciesTidy","matched.inat.ID","taxizeName","scrapediNatName"
"Latrodectus hesperus","Invertebrate","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","Latrodectus",1,1,47382,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Laurus nobilis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Laurales","Lauraceae","Laurus",1,1,54759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Lavandula stoechas","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Lavandula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French lavender","Present","Lavandula stoechas","61904",NA,NA
"Lavinia exilicauda","Fish","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Lavinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hitch","Present","Lavinia exilicauda","104127","Lavinia exilicauda","Lavinia exilicauda"
"Layia gaillardioides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Layia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"woodland tidytips","Present","Layia gaillardioides","64246",NA,NA
"Layia hieracioides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Layia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tall tidytips","Unconfirmed","Layia hieracioides","58838",NA,NA
"Layia platyglossa","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Layia",35,23,50876,0,0,7,21,5,1,0,1,0,0,0,0,0,0,0,0,1,0,1,6,4,7,16,"coastal tidytips","Present","Layia platyglossa","50876",NA,NA
"Leathesia marina","Microbe","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Leathesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Leathesia difformis","502380","Leathesia marina",NA
"Lebertia","Spider/Scorpion","Animalia","Arthropoda","Arachnida","Trombidiformes","Lebertiidae","Lebertia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Lebertia","249451","Lebertia","Lebertia"
"Lecidea tessellata","Fungi","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae","Lecidea",1,1,154188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Leiothlypis celata","Bird","Metazoa","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orange-crowned Warbler","Present","Vermivora celata",NA,"Leiothlypis celata",NA
"Leiothlypis peregrina","Bird","Metazoa","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tennessee Warbler","Present","Vermivora peregrina",NA,"Leiothlypis peregrina",NA
"Leitoscoloplos pugettensis","Invertebrate","Animalia","","Polychaeta","Scolecida","Orbiniidae","Leitoscoloplos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Leitoscoloplos pugettensis","339293",NA,NA
"Leitoscoloplos pugettensis","Invertebrate","Animalia","","Polychaeta","Scolecida","Orbiniidae","Leitoscoloplos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Haploscoloplos elongatus","339293","Leitoscoloplos pugettensis",NA
"Lemna gibba","Plant","Plantae","Magnoliophyta","Liliopsida","Alismatales","Araceae","Lemna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inflated duckweed, swollen duckweed","Unconfirmed","Lemna gibba","63913",NA,NA
"Lemna minor","Plant","Plantae","Magnoliophyta","Liliopsida","Alismatales","Araceae","Lemna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common duckweed, least duckweed, lesser duckweed","Present","Lemna minor","54518",NA,NA
"Lemna minuta","Plant","Plantae","Magnoliophyta","Liliopsida","Alismatales","Araceae","Lemna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"least duckweed","Unconfirmed","Lemna minuta","59076",NA,NA
"Lemna valdiviana","Plant","Plantae","Magnoliophyta","Liliopsida","Alismatales","Araceae","Lemna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pale duckweed, Valdivia duckweed, Valdivia's duckweed","Unconfirmed","Lemna valdiviana","59077",NA,NA
"Lenzites betulina","Fungi","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Lenzites",3,3,56149,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,NA,NA,NA,NA,NA,NA
"Leocarpus fragilis","Microbe","Protozoa","Mycetozoa","Myxomycetes","Physarales","Physaraceae","Leocarpus",4,3,56273,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA
"Leontodon saxatilis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Leontodon",1,1,60973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Leontodon taraxacoides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Leontodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hairy hawkbit, lesser hawkbit","Present","Leontodon taraxacoides","60144",NA,NA
"Leostyletus misakiensis","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Leostyletus",1,1,521168,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Lepechinia calycina","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Lepechinia",9,9,57114,1,0,3,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,4,1,1,"woodbalm","Present","Lepechinia calycina","57114",NA,NA
"Lepidium campestre","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cream-anther field pepperwort, field pepperweed","Present","Lepidium campestre","77663",NA,NA
"Lepidium didymum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",1,1,60987,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"lesser swinecress","Present","Lepidium didymum","60987",NA,NA
"Lepidium didymum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",1,1,60987,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"lesser swinecress","Present","Coronopus didymus","60987","Lepidium didymum",NA
"Lepidium lasiocarpum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hairypod pepperweed, shaggyfruit pepperweed","Unconfirmed","Lepidium lasiocarpum","58083",NA,NA
"Lepidium latifolium","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",1,1,60153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"broadleaf pepperweed, broadleaved peppergrass, broadleaved pepperweed, peppergrass mustard, perennial peppercress, perennial pepperweed, tall whitetop, Virginia pepperweed","Present","Lepidium latifolium","60153",NA,NA
"Lepidium nitidum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",2,2,47202,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"shining pepperweed","Present","Lepidium nitidum","47202",NA,NA
"Lepidium pinnatifidum","Plant","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Russian peppergrass","Unconfirmed","Lepidium pinnatifidum","77673","Lepidium pinnatifidum","Lepidium pinnatifidum"
"Lepidium strictum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"upright pepperweed","Probably Present","Lepidium strictum","58865",NA,NA
"Lepidium virginicum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hairy pepperweed","Unconfirmed","Lepidium virginicum","77676",NA,NA
"Lepidogobius lepidus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Lepidogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bay goby","Present","Lepidogobius lepidus","117546",NA,NA
"Lepidostoma","Invertebrate","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Lepidostoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Lepidostoma","148207","Lepidostoma","Lepidostoma"
"Lepidozona cooperi","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae","Lepidozona",5,4,130884,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,NA,NA,NA,NA,NA,NA
"Lepidozona mertensii","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae","Lepidozona",2,2,117621,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"Lepidozona scrobiculata","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Ischnochitonidae","Lepidozona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Lepidozona sinudentata","339148","Lepidozona scrobiculata","Lepidozona sinudentata"
"Lepiota decorata","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota",1,1,486343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"Lepisma","Invertebrate","Animalia","Arthropoda","Insecta","Zygentoma","Lepismatidae","Lepisma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Lepisma","48299","Lepisma","Lepisma"
"Lepista nuda","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Lepista",3,3,351380,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"Lepomis cyanellus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Sunfish","Present","Lepomis cyanellus","58636",NA,NA
"Lepomis macrochirus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bluegill","Present","Lepomis macrochirus","49591",NA,NA
"Lepomis microlophus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Redear Sunfish","Present","Lepomis microlophus","85127",NA,NA
"Leptasterias hexactis","Invertebrate","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Leptasterias",4,4,117691,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,"","Present","Leptasterias hexactis","117691",NA,NA
"Leptasterias leviuscula","Invertebrate","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Leptasterias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Leptasterias leviuscula",NA,NA,NA
"Leptasterias pusilla","Invertebrate","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Leptasterias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Leptasterias pusilla","117693","Leptasterias pusilla","Leptasterias pusilla"
"Leptochidium albociliatum","Fungi","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Massalongiaceae","Leptochidium",3,3,223432,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
"Leptocottus armatus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Leptocottus",3,3,49163,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"Pacific staghorn sculpin","Present","Leptocottus armatus","49163",NA,NA
"Leptocylindrus","Microbe","Chromista","Ochrophyta","Bacillariophyceae","Leptocylindrales","Leptocylindraceae","Leptocylindrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Leptocylindrus","203623","Leptocylindrus","Leptocylindrus"
"Leptoglossus zonatus","Invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Leptoglossus",1,1,154551,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Leptonia pigmentosipes","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Leptonia",1,1,499864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"Leptosiphon acicularis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon",1,1,58972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Leptosiphon ambiguus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"serpentine linanthus","Unconfirmed","Linanthus ambiguus","58970","Leptosiphon ambiguus",NA
"Leptosiphon androsaceus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon",1,1,58969,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"false babystars","Unconfirmed","Linanthus androsaceus","58969","Leptosiphon androsaceus",NA
"Leptosiphon grandiflorus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"largeflower linanthus","Unconfirmed","Linanthus grandiflorus","77688","Leptosiphon grandiflorus",NA
"Leptosiphon liniflorus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"narrowflower flaxflower","Unconfirmed","Linanthus liniflorus","64244","Leptosiphon liniflorus",NA
"Leptosiphon parviflorus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon",3,3,58965,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,"variable linanthus","Unconfirmed","Linanthus parviflorus","58965","Leptosiphon parviflorus",NA
"Leptospermum laevigatum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Leptospermum",7,6,77704,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,"Australian teatree","Present","Leptospermum laevigatum","77704",NA,NA
"Leptosynapta albicans","Invertebrate","Animalia","Echinodermata","Holothuroidea","Apodida","Synaptidae","Leptosynapta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Leptosynapta albicans","48042",NA,NA
"Lepus californicus","Mammal","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus",6,5,43130,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,2,0,0,"black-tailed jackrabbit","Present","Lepus californicus","43130",NA,NA
"Leratiomyces ceres","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Leratiomyces",11,7,121217,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,9,1,NA,NA,NA,NA,NA,NA
"Leratiomyces percevalii","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Leratiomyces",1,1,129323,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"Lessingia arachnoidea","Plant","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lessingia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crystal Springs lessingia","Unconfirmed","Lessingia arachnoidea","77713","Lessingia arachnoidea","Lessingia arachnoidea"
"Lessingia germanorum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Lessingia",2,2,61925,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"Lessingia hololeuca","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Lessingia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"woollyhead vinegarweed","Unconfirmed","Lessingia hololeuca","56968",NA,NA
"Lessingia micradenia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Lessingia",2,2,63000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA
"Lestes stultus","Invertebrate","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Lestes",2,1,104453,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA
"Leucanthemum maximum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Leucanthemum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max chrysanthemum","Present","Leucanthemum maximum","77719",NA,NA
"Leucanthemum vulgare","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Leucanthemum",6,5,56057,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,"oxeye daisy, ox-eye daisy, oxeyedaisy, oxeye-daisy","Present","Leucanthemum vulgare","56057",NA,NA
"Leucilla nuttingi","Invertebrate","Animalia","Porifera","Calcarea","Leucosolenida","Amphoriscidae","Leucilla",1,1,117713,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Leucojum aestivum","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Amaryllidaceae","Leucojum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"summer snowflake","Present","Leucojum aestivum","55809",NA,NA
"Leucon","Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Leucon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Leucon","248783","Leucon","Leucon"
"Leucopaxillus albissimus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Leucopaxillus",2,2,67351,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"Leucopaxillus gentianeus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Leucopaxillus",1,1,67346,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Leucophaeus atricilla","Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Leucophaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laughing Gull","Unconfirmed","Larus atricilla","144514","Leucophaeus atricilla",NA
"Leucophaeus pipixcan","Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Leucophaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franklin's Gull","Probably Present","Larus pipixcan","144515","Leucophaeus pipixcan",NA
"Leucrocuta","Invertebrate","Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Leucrocuta","177453","Leucrocuta","Leucrocuta"
"Leukoma staminea","Invertebrate","Animalia","Mollusca","Bivalvia","Veneroida","Veneridae","Leukoma",3,3,333608,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"","Present","Protothaca staminea","333608","Leukoma staminea",NA
"Leukoma staminea","Invertebrate","Animalia","Mollusca","Bivalvia","Veneroida","Veneridae","Leukoma",3,3,333608,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"","Present","Paphia staminea","333608","Leukoma staminea",NA
"Leuresthes tenuis","Fish","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Leuresthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California grunion","Present","Leuresthes tenuis","117572",NA,NA
"Leymus condensatus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Leymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"giant wildrye","Unconfirmed","Leymus condensatus","164673",NA,NA
"Leymus mollis","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Leymus",5,5,61067,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,"American dunegrass","Present","Leymus mollis","61067",NA,NA
"Leymus triticoides","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Leymus",2,2,57184,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"beardless wildrye","Present","Leymus triticoides","57184",NA,NA
"Libellula saturata","Invertebrate","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",1,1,47817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Libertia chilensis","Plant","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Libertia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snowy mermaid","Unconfirmed","Libertia formosa","59941","Libertia chilensis","Libertia chilensis"
"Lichnanthe ursina","Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Glaphyridae","Lichnanthe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bumblebee scarab beetle","Present","Lichnanthe ursina","154395","Lichnanthe ursina","Lichnanthe ursina"
"Ligia occidentalis","Invertebrate","Animalia","Arthropoda","Malacostraca","Isopoda","Ligiidae","Ligia",6,5,117674,0,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,0,1,"rock louse","Present","Ligia occidentalis","117674",NA,NA
