"speciesFixed","total_obs","user_obs","kingdom","phylum","class","order","family","genus","category","inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","Category"
"Madia gracilis",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Madia","Plant",53135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slender Tarplant","Present","Plant"
"Madia sativa",8,4,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Madia","Plant",53143,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,"Coast Tarplant, coast tarweed","Present","Plant"
"Maianthemum dilatatum",1,1,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Maianthemum","Plant",63939,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"False Lily-of-the-Valley","Present","Plant"
"Maianthemum racemosa",NA,NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Maianthemum","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"racemose false Solomon's-seal","Present","Plant"
"Maianthemum racemosum",8,7,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Maianthemum","Plant",51062,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,NA,NA,NA
"Maianthemum stellatum",5,5,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Maianthemum","Plant",53268,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,"false Solomon's seal, little false Solomon's-seal, star false Solomon's-seal, star-flower Solomon's-seal, starry false lily of the valley, starry false Solomon's seal, starry false Solomon's-seal, starry Solomon's-seal","Present","Plant"
"Malacosoma californicum",1,1,"Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Malacosoma","Invertebrate",55963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
"Malus pumila",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Malus","Plant",77949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paradise apple","Present","Plant"
"Malus sylvestris",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Malus","Plant",61223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apple","Present","Plant"
"Malva nicaeensis",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Malvales","Malvaceae","Malva","Plant",61043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bull Mallow","Present","Plant"
"Malva parviflora",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Malvales","Malvaceae","Malva","Plant",58202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cheeseweed, cheeseweed mallow","Present","Plant"
"Marah fabacea",16,10,"Plantae","Magnoliophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Marah","Plant",205330,1,2,4,1,1,4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,9,3,"wild cucumber","Present","Plant"
"Marah oregana",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Marah","Plant",77960,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Oregon wild cucumber","Present","Plant"
"Marasmius androsaceus",1,1,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","Fungi",54066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Marasmius plicatulus",2,2,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","Fungi",55291,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA
"Marchantia polymorpha",1,1,"Plantae","Bryophyta","Marchantiopsida","Marchantiales","Marchantiaceae","Marchantia","Plant",56406,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA
"Margaritifera falcata",NA,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Margaritiferidae","Margaritifera","Invertebrate",148212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"western pearlshell","Present","Invertebrate"
"Marrubium vulgare",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Marrubium","Plant",54605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horehound","Present","Plant"
"Masticophis lateralis",NA,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Masticophis","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Striped Racer","Unconfirmed","Herp"
"Mastocarpus papillatus",1,1,"Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus","Plant",117807,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
"Matricaria discoidea",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Matricaria","Plant",52992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Matricaria matricarioides",NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Matricaria","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pineapple weed","Present","Plant"
"Meconella californica",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Papaveraceae","Meconella","Plant",60849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Meconella","Unconfirmed","Plant"
"Medicago arabica",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Medicago","Plant",61012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Spotted Burclover, spotted medick","Present","Plant"
"Medicago lupulina",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Medicago","Plant",57056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Medick","Unconfirmed","Plant"
"Medicago polymorpha",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Medicago","Plant",53151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"burclover, California Burclover","Present","Plant"
"Medicago sativa",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Medicago","Plant",57057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alfalfa","Unconfirmed","Plant"
"Megaceryle alcyon",2,2,"Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Megaceryle","Bird",2548,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA
"Megalorchestia californiana",5,5,"Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","Megalorchestia","Invertebrate",63287,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,0,NA,NA,NA
"Megaptera novaeangliae",NA,NA,"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Mammal",41566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Humpback Whale","Present","Mammal"
"Melanerpes erythrocephalus",NA,NA,"Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Bird",18204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red-headed Woodpecker","Probably Present","Bird"
"Melanerpes formicivorus",8,6,"Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Bird",18209,1,0,0,1,1,0,1,1,0,0,2,1,1,0,0,0,0,1,2,4,0,0,0,"Acorn Woodpecker","Present","Bird"
"Melanerpes lewis",NA,NA,"Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Bird",18160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lewis' Woodpecker","Unconfirmed","Bird"
"Melanitta fusca",NA,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Bird",7032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White-winged Scoter","Present","Bird"
"Melanitta nigra",NA,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Bird",144221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Scoter","Present","Bird"
"Melanitta perspicillata",22,14,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","Bird",7036,0,3,2,0,4,1,3,1,0,2,4,2,0,0,1,0,0,3,2,1,6,9,0,"Surf Scoter","Present","Bird"
"Melanoplus devastator",1,1,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","Invertebrate",153313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
"Meleagris gallopavo",NA,NA,"Animalia","Chordata","Aves","Galliformes","Phasianidae","Meleagris","Bird",906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild Turkey","Present","Bird"
"Melica californica",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Melica","Plant",57186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Melic","Unconfirmed","Plant"
"Melica geyeri",NA,NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Melica","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melic","Unconfirmed","Plant"
"Melica imperfecta",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Melica","Plant",52802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melic","Unconfirmed","Plant"
"Melica subulata",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Melica","Plant",77986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska Oniongrass","Present","Plant"
"Melica torreyana",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Melica","Plant",52804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Torrey Melic","Present","Plant"
"Melilotus albus",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Melilotus","Plant",58907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"white sweet-clover","Present","Plant"
"Melilotus indicus",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Melilotus","Plant",57065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sourclover","Present","Plant"
"Melospiza georgiana",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melospiza","Bird",9096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swamp Sparrow","Present","Bird"
"Melospiza lincolnii",3,3,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melospiza","Bird",9092,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,"Lincoln's Sparrow","Present","Bird"
"Melospiza melodia",23,15,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melospiza","Bird",9100,4,2,2,2,5,1,0,1,2,1,2,1,0,0,0,0,0,1,4,6,6,4,2,"Song Sparrow","Present","Bird"
"Melozone crissalis",2,2,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melozone","Bird",73044,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
"Mentha aquatica",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Plant",77990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
"Mentha arvensis",3,3,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Plant",58188,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,"Marsh Mint, wild mint","Present","Plant"
"Mentha canadensis",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Plant",77991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
"Mentha pulegium",9,5,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Plant",57116,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,1,0,0,0,1,0,7,0,"penny royal","Present","Plant"
"Mentha suaveolens",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Plant",77993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apple Mint","Unconfirmed","Plant"
"Menyanthes trifoliata",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Menyanthaceae","Menyanthes","Plant",78016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bog-bean, buckbean, buck-bean, common bogbean","Present","Plant"
"Mephitis mephitis",5,5,"Animalia","Chordata","Mammalia","Carnivora","Mephitidae","Mephitis","Mammal",41880,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,"Striped Skunk","Present","Mammal"
"Mergus merganser",1,1,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Bird",7004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Common Merganser","Present","Bird"
"Mergus serrator",3,3,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Bird",6996,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,"Red-breasted Merganser","Present","Bird"
"Merluccius productus",NA,NA,"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Pacific hake, Pacific hake, Pacific whiting, whiting","Probably Present","Fish"
"Mesoleuca gratulata",1,1,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Mesoleuca","Invertebrate",224947,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
"Mesoplodon carlhubbsi",NA,NA,"Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon","Mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"archbeaked whale, arch-beaked whale, Hubbs' Beaked Whale, Hubbs's Beaked Whale","Unconfirmed","Mammal"
"Mesoplodon densirostris",NA,NA,"Animalia","Chordata","Mammalia","Cetacea","Ziphiidae","Mesoplodon","Mammal",41408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blainville's Beaked Whale, densebeak whale, dense-beaked whale","Unconfirmed","Mammal"
"Mesoplodon ginkgodens",NA,NA,"Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon","Mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ginkgo-toothed Beaked Whale, ginkgo-toothed whale","Unconfirmed","Mammal"
"Metacarcinus magister",5,5,"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Metacarcinus","Invertebrate",63697,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,NA,NA,NA
"Metasequoia glyptostroboides",NA,NA,"Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Metasequoia","Plant",69150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dawn redwood","Present","Plant"
"Microgadus proximus",NA,NA,"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Microgadus","Fish",117569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific tomcod","Present","Fish"
"Micrometrus aurora",NA,NA,"Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Micrometrus","Fish",117559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reef perch","Present","Fish"
"Micrometrus minimus",NA,NA,"Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Micrometrus","Fish",117560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dwarf perch","Present","Fish"
"Micropterus dolomieui",NA,NA,"Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Micropterus","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"small mouth bass","Unconfirmed","Fish"
"Micropterus salmoides",NA,NA,"Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Micropterus","Fish",49587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"largemouth bass","Present","Fish"
"Microseris bigelovii",NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Microseris","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coast Microseris, coastal silverpuffs","Present","Plant"
"Microseris paludosa",NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Microseris","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coastal Microseris","Present","Plant"
"Microtes occidentalis",4,3,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Microtes","Invertebrate",210448,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA
"Microtus californicus",2,2,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Mammal",44326,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"Amargosa Vole, California Vole","Present","Mammal"
"Mimulus aurantiacus",35,24,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Plant",48858,2,0,2,0,4,5,6,4,7,3,2,0,0,0,0,0,0,1,1,3,4,24,2,"Bush Monkeyflower","Present","Plant"
"Mimulus cardinalis",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Plant",53154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scarlet Monkeyflower","Unconfirmed","Plant"
"Mimulus foliatus",NA,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia","Invertebrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"foliate kelp crab","Present","Invertebrate"
"Mimulus guttatus",26,21,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Plant",48014,0,0,1,3,6,7,6,3,0,0,0,0,0,1,0,0,0,1,2,4,5,13,0,"Common Monkeyflower, seep monkeyflower","Present","Plant"
"Mimulus moschatus",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Plant",181798,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Musk Monkeyflower, muskflower","Present","Plant"
"Mimus polyglottos",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","Bird",14886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Mockingbird","Present","Bird"
"Minuartia rubella",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Minuartia","Plant",78075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moss-like Minuartia","Present","Plant"
"Mirounga angustirostris",92,48,"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mammal",41728,18,10,6,5,9,8,7,3,1,3,11,11,0,0,5,3,2,4,6,12,13,32,15,"Northern Elephant Seal, northern sea elephant","Present","Mammal"
"Misumena vatia",2,2,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Misumena","Invertebrate",55746,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Mniotilta varia",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Mniotilta","Bird",10286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black-and-white Warbler","Present","Bird"
"Modiola caroliniana",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Malvales","Malvaceae","Modiola","Plant",78087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wheel Mallow","Present","Plant"
"Mola mola",1,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Molidae","Mola","Fish",49601,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"ocean sunfish","Probably Present","Fish"
"Molothrus ater",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Bird",10373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brown-headed Cowbird","Present","Bird"
"Monadenia infumata",4,4,"Animalia","Mollusca","Gastropoda","Stylommatophora","Bradybaenidae","Monadenia","Invertebrate",70091,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,NA,NA,NA
"Monardella sinuata",8,8,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella","Plant",80039,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,1,0,0,2,4,1,0,NA,NA,NA
"Monardella undulata",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella","Plant",61878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"curlyleaf monardella, Curly-leaved Monardella","Present","Plant"
"Monardella villosa",9,7,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella","Plant",52181,0,0,0,0,0,3,5,1,0,0,0,0,0,0,2,0,0,0,1,1,2,3,0,"coyote mint","Present","Plant"
"Montia fontana",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Montiaceae","Montia","Plant",58990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"annual water minerslettuce, Water Montia","Present","Plant"
"Mopalia muscosa",5,5,"Animalia","Mollusca","Polyplacophora","Chitonida","Mopaliidae","Mopalia","Invertebrate",117633,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,NA,NA,NA
"Morella californica",2,2,"Plantae","Magnoliophyta","Magnoliopsida","Fagales","Myricaceae","Morella","Plant",61039,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"California wax myrtle","Present","Plant"
"Morone saxatilis",NA,NA,"Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","Morone","Fish",51392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rockfish, striped bass","Present","Fish"
"Motacilla flava",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Bird",204545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow Wagtail","Unconfirmed","Bird"
"Muilla maritima",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Themidaceae","Muilla","Plant",56627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Muilla","Probably Present","Plant"
"Mus musculus",NA,NA,"Animalia","Chordata","Mammalia","Rodentia","Muridae","Mus","Mammal",44705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"House Mouse","Present","Mammal"
