"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","original.inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","speciesTidy","matched.inat.ID","taxizeName","scrapediNatName"
"Madia anomala","Plant","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Madia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat-fruited Madia","Unconfirmed","Madia anomala","69927","Madia anomala","Madia anomala"
"Madia elegans","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Madia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"elegant madia","Present","Madia elegans","56974",NA,NA
"Madia exigua","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Madia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Threadstem Madia","Unconfirmed","Madia exigua","56971",NA,NA
"Madia gracilis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Madia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slender Tarplant","Present","Madia gracilis","53135",NA,NA
"Madia sativa","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Madia",8,4,53143,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,"Coast Tarplant, coast tarweed","Present","Madia sativa","53143",NA,NA
"Maianthemum dilatatum","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Maianthemum",1,1,63939,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"False Lily-of-the-Valley","Present","Maianthemum dilatatum","63939",NA,NA
"Maianthemum racemosum","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Maianthemum",11,8,51062,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,"racemose false Solomon's-seal","Present","Maianthemum racemosa","51062","Maianthemum racemosum",NA
"Maianthemum stellatum","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Maianthemum",5,5,53268,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,"false Solomon's seal, little false Solomon's-seal, star false Solomon's-seal, star-flower Solomon's-seal, starry false lily of the valley, starry false Solomon's seal, starry false Solomon's-seal, starry Solomon's-seal","Present","Maianthemum stellatum","53268",NA,NA
"Malacosoma californicum","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Malacosoma",1,1,55963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Malenka californica","Invertebrate","Animalia","Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Nemoura californica",NA,"Malenka californica",NA
"Malus pumila","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Malus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paradise apple","Present","Malus pumila","77949",NA,NA
"Malus sylvestris","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Malus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apple","Present","Malus sylvestris","61223",NA,NA
"Malva nicaeensis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Malvales","Malvaceae","Malva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bull Mallow","Present","Malva nicaeensis","61043",NA,NA
"Malva parviflora","Plant","Plantae","Magnoliophyta","Magnoliopsida","Malvales","Malvaceae","Malva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cheeseweed, cheeseweed mallow","Present","Malva parviflora","58202",NA,NA
"Marah fabacea","Plant","Plantae","Magnoliophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Marah",16,10,205330,1,2,4,1,1,4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,9,3,"wild cucumber","Present","Marah fabacea","205330",NA,NA
"Marah oregana","Plant","Plantae","Magnoliophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Marah",2,2,77960,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Oregon wild cucumber","Present","Marah oregana","77960",NA,NA
"Marasmius androsaceus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius",1,1,54066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Marasmius plicatulus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius",2,2,55291,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA
"Marchantia polymorpha","Plant","Plantae","Bryophyta","Marchantiopsida","Marchantiales","Marchantiaceae","Marchantia",1,1,56406,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"Margaritifera falcata","Invertebrate","Animalia","Mollusca","Bivalvia","Unionoida","Margaritiferidae","Margaritifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"western pearlshell","Present","Margaritifera falcata","148212",NA,NA
"Marrubium vulgare","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Marrubium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horehound","Present","Marrubium vulgare","54605",NA,NA
"Mastocarpus cristatus","Plant","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Gigartina cristata",NA,"Mastocarpus cristatus",NA
"Mastocarpus papillatus","Plant","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus",1,1,117807,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"","Present","Gigartina papillata","117807","Mastocarpus papillatus",NA
"Matricaria discoidea","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Matricaria",1,1,52992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Matricaria matricarioides","Plant","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Matricaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pineapple weed","Present","Matricaria matricarioides",NA,"Matricaria matricarioides",NA
"Meconella californica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Papaveraceae","Meconella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Meconella","Unconfirmed","Meconella californica","60849",NA,NA
"Medicago arabica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Medicago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Spotted Burclover, spotted medick","Present","Medicago arabica","61012",NA,NA
"Medicago lupulina","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Medicago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Medick","Unconfirmed","Medicago lupulina","57056",NA,NA
"Medicago polymorpha","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Medicago",1,1,53151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"burclover, California Burclover","Present","Medicago polymorpha","53151",NA,NA
"Medicago sativa","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Medicago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alfalfa","Unconfirmed","Medicago sativa","57057",NA,NA
"Megaceryle alcyon","Bird","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Megaceryle",2,2,2548,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Belted Kingfisher","Present","Ceryle alcyon","2548","Megaceryle alcyon",NA
"Megalorchestia californiana","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","Megalorchestia",5,5,63287,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,0,NA,NA,NA,NA,NA,NA
"Megaptera novaeangliae","Mammal","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Humpback Whale","Present","Megaptera novaeangliae","41566",NA,NA
"Megascops kennicottii","Bird","Animalia","Chordata","Aves","Strigiformes","Strigidae","Megascops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Screech-Owl","Present","Otus kennicottii","19743","Megascops kennicottii",NA
"Melanerpes erythrocephalus","Bird","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red-headed Woodpecker","Probably Present","Melanerpes erythrocephalus","18204",NA,NA
"Melanerpes formicivorus","Bird","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes",8,6,18209,1,0,0,1,1,0,1,1,0,0,2,1,1,0,0,0,0,1,2,4,0,0,0,"Acorn Woodpecker","Present","Melanerpes formicivorus","18209",NA,NA
"Melanerpes lewis","Bird","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lewis' Woodpecker","Unconfirmed","Melanerpes lewis","18160",NA,NA
"Melanitta fusca","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White-winged Scoter","Present","Melanitta fusca","7032",NA,NA
"Melanitta nigra","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Scoter","Present","Melanitta nigra","144221",NA,NA
"Melanitta perspicillata","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta",22,14,7036,0,3,2,0,4,1,3,1,0,2,4,2,0,0,1,0,0,3,2,1,6,9,0,"Surf Scoter","Present","Melanitta perspicillata","7036",NA,NA
"Melanoplus devastator","Invertebrate","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus",1,1,153313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Meleagris gallopavo","Bird","Animalia","Chordata","Aves","Galliformes","Phasianidae","Meleagris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild Turkey","Present","Meleagris gallopavo","906",NA,NA
"Melica californica","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Melica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Melic","Unconfirmed","Melica californica","57186",NA,NA
"Melica geyeri","Plant","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Melica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melic","Unconfirmed","Melica geyeri","77982","Melica geyeri","Melica geyeri"
"Melica imperfecta","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Melica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melic","Unconfirmed","Melica imperfecta","52802",NA,NA
"Melica subulata","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Melica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska Oniongrass","Present","Melica subulata","77986",NA,NA
"Melica torreyana","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Melica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Torrey Melic","Present","Melica torreyana","52804",NA,NA
"Melilotus albus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Melilotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"white sweet-clover","Present","Melilotus albus","58907",NA,NA
"Melilotus indicus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Melilotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sourclover","Present","Melilotus indicus","57065",NA,NA
"Melospiza georgiana","Bird","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melospiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swamp Sparrow","Present","Melospiza georgiana","9096",NA,NA
"Melospiza lincolnii","Bird","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melospiza",3,3,9092,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,"Lincoln's Sparrow","Present","Melospiza lincolnii","9092",NA,NA
"Melospiza melodia","Bird","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melospiza",23,15,9100,4,2,2,2,5,1,0,1,2,1,2,1,0,0,0,0,0,1,4,6,6,4,2,"Song Sparrow","Present","Melospiza melodia","9100",NA,NA
"Melozone crissalis","Bird","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melozone",2,2,73044,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Brown Towhee, California Towhee","Present","Pipilo crissalis","73044","Melozone crissalis",NA
"Melozone fusca","Bird","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Melozone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canyon Towhee","Unconfirmed","Pipilo fuscus","145289","Melozone fusca",NA
"Mentha aquatica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha",1,1,77990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Mentha arvensis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha",3,3,58188,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,"Marsh Mint, wild mint","Present","Mentha arvensis","58188",NA,NA
"Mentha canadensis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha",1,1,77991,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Mentha pulegium","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha",9,5,57116,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,1,0,0,0,1,0,7,0,"penny royal","Present","Mentha pulegium","57116",NA,NA
"Mentha suaveolens","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apple Mint","Unconfirmed","Mentha suaveolens","77993",NA,NA
"Menyanthes trifoliata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Menyanthaceae","Menyanthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bog-bean, buckbean, buck-bean, common bogbean","Present","Menyanthes trifoliata","78016",NA,NA
"Mephitis mephitis","Mammal","Animalia","Chordata","Mammalia","Carnivora","Mephitidae","Mephitis",6,6,41880,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,3,0,"Striped Skunk","Present","Mephitis mephitis","41880",NA,NA
"Mergus merganser","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus",1,1,7004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Common Merganser","Present","Mergus merganser","7004",NA,NA
"Mergus serrator","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus",3,3,6996,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,"Red-breasted Merganser","Present","Mergus serrator","6996",NA,NA
"Merluccius productus","Fish","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Pacific hake, Pacific hake, Pacific whiting, whiting","Probably Present","Merluccius productus","105599","Merluccius productus","Merluccius productus"
"Mesoleuca gratulata","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Mesoleuca",2,2,224947,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Mesoplodon carlhubbsi","Mammal","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"archbeaked whale, arch-beaked whale, Hubbs' Beaked Whale, Hubbs's Beaked Whale","Unconfirmed","Mesoplodon carlhubbsi","41406","Mesoplodon carlhubbsi","Mesoplodon carlhubbsi"
"Mesoplodon densirostris","Mammal","Animalia","Chordata","Mammalia","Cetacea","Ziphiidae","Mesoplodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blainville's Beaked Whale, densebeak whale, dense-beaked whale","Unconfirmed","Mesoplodon densirostris","41408",NA,NA
"Mesoplodon ginkgodens","Mammal","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ginkgo-toothed Beaked Whale, ginkgo-toothed whale","Unconfirmed","Mesoplodon ginkgodens","41414","Mesoplodon ginkgodens","Mesoplodon ginkgodens"
"Metacarcinus magister","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Metacarcinus",5,5,63697,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,"Dungeness crab","Present","Cancer magister","63697","Metacarcinus magister",NA
"Metasequoia glyptostroboides","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Metasequoia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dawn redwood","Present","Metasequoia glyptostroboides","69150",NA,NA
"Microgadus proximus","Fish","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Microgadus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific tomcod","Present","Microgadus proximus","117569",NA,NA
"Micrometrus aurora","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Micrometrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reef perch","Present","Micrometrus aurora","117559",NA,NA
"Micrometrus minimus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Micrometrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dwarf perch","Present","Micrometrus minimus","117560",NA,NA
"Micropterus dolomieu","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Micropterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"small mouth bass","Unconfirmed","Micropterus dolomieui","49590","Micropterus dolomieu",NA
"Micropterus salmoides","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Micropterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"largemouth bass","Present","Micropterus salmoides","49587",NA,NA
"Microseris bigelovii","Plant","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Microseris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coast Microseris, coastal silverpuffs","Present","Microseris bigelovii","60977","Microseris bigelovii","Microseris bigelovii"
"Microseris decipiens","Plant","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Microseris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beach starwart, Santa Cruz microseris","Unconfirmed","Stebbinsoseris decipiens","79198","Microseris decipiens","Stebbinsoseris decipiens"
"Microseris paludosa","Plant","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Microseris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coastal Microseris","Present","Microseris paludosa","60976","Microseris paludosa","Microseris paludosa"
"Microtes occidentalis","Invertebrate","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Microtes",4,3,210448,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA
"Microtus californicus","Mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",3,3,44326,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,"Amargosa Vole, California Vole","Present","Microtus californicus","44326",NA,NA
"Mimulus aurantiacus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus",37,24,48858,2,0,3,1,4,5,6,4,7,3,2,0,0,0,0,0,0,1,1,3,4,24,4,"Bush Monkeyflower","Present","Mimulus aurantiacus","48858",NA,NA
"Mimulus cardinalis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scarlet Monkeyflower","Unconfirmed","Mimulus cardinalis","53154",NA,NA
"Mimulus foliatus","Invertebrate","Metazoa","Arthropoda","Malacostraca","Decapoda","Epialtidae","Mimulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"foliate kelp crab","Present","Mimulus foliatus",NA,"Mimulus foliatus",NA
"Mimulus guttatus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus",29,23,48014,0,0,1,6,6,7,6,3,0,0,0,0,0,1,0,0,0,1,2,4,5,13,3,"Common Monkeyflower, seep monkeyflower","Present","Mimulus guttatus","48014",NA,NA
"Mimulus moschatus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus",1,1,181798,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Mimus polyglottos","Bird","Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Mockingbird","Present","Mimus polyglottos","14886",NA,NA
"Minuartia rubella","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Minuartia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moss-like Minuartia","Present","Minuartia rubella","78075",NA,NA
"Mirounga angustirostris","Mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga",94,49,41728,18,11,6,6,9,8,7,3,1,3,11,11,0,0,5,3,2,4,6,12,14,32,16,"Northern Elephant Seal, northern sea elephant","Present","Mirounga angustirostris","41728",NA,NA
